,Phenotype,o_1,o_2,o_3,o_4
247,x[7] -= 1,0.6243054866790771,0.003086419776082039,0.1111111111111111,0.16983775794506073
248,x[7] -= 9,0.5686062872409821,0.02777777798473835,0.1111111111111111,0.15484657883644104
249,x[6] += 0.4,0.6321898996829987,0.0,0.0,0.1720423549413681
250,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
251,x[3] += 2,0.6353487074375153,0.1111111119389534,0.1111111111111111,0.17266711592674255
252,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
253,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
254,x[6] -= 0.8,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
255,x[7] -= 7 ; x[7] -= 3,0.5621658563613892,0.03086419776082039,0.1111111111111111,0.15352381765842438
256,x[7] -= 2,0.6163537502288818,0.006172839552164078,0.1111111111111111,0.16763317584991455
257,x[6] += 0.8,0.6321898996829987,0.0,0.0,0.1720423549413681
258,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
259,x[7] += 8,0.6924729347229004,0.02469135820865631,0.1111111111111111,0.1927824169397354
260,x[7] -= 9,0.5686062872409821,0.02777777798473835,0.1111111111111111,0.15484657883644104
261,x[6] -= 0.8,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
262,x[7] -= 4,0.6004192531108856,0.012345679104328156,0.1111111111111111,0.1632240116596222
263,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
264,x[6] += 0.3,0.6321898996829987,0.0,0.0,0.1720423549413681
265,x[6] += 1.1,0.6321599781513214,1.3768415556114633e-05,0.1111111111111111,0.17205218970775604
266,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
267,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
268,x[2] += 3,10000.0,10000.0,10000.0,10000.0
269,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
270,x[7] -= 7,0.5814142525196075,0.021604938432574272,0.1111111111111111,0.15749208629131317
271,x[7] -= 8,0.5750236511230469,0.02469135820865631,0.1111111111111111,0.1561693400144577
272,x[6] += 0.5,0.6321898996829987,0.0,0.0,0.1720423549413681
273,x[7] -= 5,0.5941141843795776,0.015432098880410194,0.1111111111111111,0.161019429564476
274,x[6] -= 0.9,0.6322197318077087,1.3768415556114633e-05,0.1111111111111111,0.17203645408153534
275,x[7] += 1,0.6400041878223419,0.003086419776082039,0.1111111111111111,0.175128772854805
276,x[8] += 8,10000.0,10000.0,10000.0,10000.0
277,x[6] += 0.6,0.6321898996829987,0.0,0.0,0.1720423549413681
